CODIGO;DESCRIPCION
010150;CUENCA
010151;BAÑOS
010152;CUMBE
010153;CHAUCHA
010154;CHECA
010155;CHIQUINTAD
010156;LLACAO
010157;MOLLETURO
010158;NULTI
010159;OCTAVIO CORDERO PALACIOS
010160;PACCHA
010161;QUINGEO
010162;RICAURTE
010163;SAN JOAQUÍN
010164;SANTA ANA
010165;SAYAUSÍ
010166;SIDCAY
010167;SININCAY
010168;TARQUI
010169;TURI
010170;VALLE
010171;VICTORIA DEL PORTETE
010250;GIRÓN
010251;LA ASUNCIÓN
010252;SAN GERARDO
010350;GUALACEO
010352;DANIEL CÓRDOVA TORAL
010353;JADÁN
010354;MARIANO MORENO
010356;REMIGIO CRESPO TORAL
010357;SAN JUAN
010358;ZHIDMAD
010359;LUIS CORDERO VEGA
010360;SIMÓN BOLÍVAR
010450;NABÓN
010451;COCHAPATA
010452;EL PROGRESO
010453;LAS NIEVES
010550;PAUTE
010552;BULÁN
010553;CHICÁN
010554;EL CABO
010556;GUARAINAG
010559;SAN CRISTÓBAL
010561;TOMEBAMBA
010562;DUG DUG
010650;PUCARÁ
010652;SAN RAFAEL DE SHARUG
010750;SAN FERNANDO
010751;CHUMBLÍN
010850;SANTA ISABEL
010851;ABDÓN CALDERÓN
010852;EL CARMEN DE PIJILÍ
010853;SHAGLLI
010854;SAN SALVADOR DE CAÑARIBAMBA
010950;SÍGSIG
010951;CUCHIL
010952;JIMA
010953;GÜEL
010954;LUDO
010955;SAN BARTOLOMÉ
010956;SAN JOSÉ DE RARANGA
011050;SAN FELIPE DE OÑA
011051;SUSUDEL
011150;CHORDELEG
011151;PRINCIPAL
011152;LA UNIÓN
011153;LUIS GALARZA ORELLANA
011154;SAN MARTÍN DE PUZHIO
011250;EL PAN
011253;SAN VICENTE
011350;SEVILLA DE ORO
011351;AMALUZA
011352;PALMAS
011450;GUACHAPALA
011550;CAMILO PONCE ENRÍQUEZ
020150;GUARANDA
020151;FACUNDO VELA
020153;JULIO E. MORENO
020155;SALINAS
020156;SAN LORENZO
020157;SAN SIMÓN
020158;SANTA FE
020159;SIMIÁTUG
020160;SAN LUIS DE PAMBIL
020250;CHILLANES
020251;SAN JOSÉ DEL TAMBO
020350;SAN JOSÉ DE CHIMBO
020351;ASUNCIÓN
020353;LA MAGDALENA
020354;SAN SEBASTIÁN
020355;TELIMBELA
020450;ECHEANDÍA
020550;SAN MIGUEL
020551;BALSAPAMBA
020552;BILOVÁN
020553;RÉGULO DE MORA
020554;SAN PABLO
020555;SANTIAGO
020556;SAN VICENTE
020650;CALUMA
020750;LAS NAVES
030150;AZOGUES
030151;COJITAMBO
030153;GUAPÁN
030154;JAVIER LOYOLA
030155;LUIS CORDERO
030156;PINDILIG
030157;RIVERA
030158;SAN MIGUEL
030160;TADAY
030250;BIBLIÁN
030251;NAZÓN
030252;SAN FRANCISCO DE SAGEO
030253;TURUPAMBA
030254;JERUSALÉN
030350;CAÑAR
030351;CHONTAMARCA
030352;CHOROCOPTE
030353;GENERAL MORALES
030354;GUALLETURO
030355;HONORATO VÁSQUEZ
030356;INGAPIRCA
030357;JUNCAL
030358;SAN ANTONIO
030361;ZHUD
030362;VENTURA
030363;DUCUR
030450;LA TRONCAL
030451;MANUEL J. CALLE
030452;PANCHO NEGRO
030550;EL TAMBO
030650;DÉLEG
030651;SOLANO
030750;SUSCAL
040150;TULCÁN
040151;EL CARMELO
040153;JULIO ANDRADE
040154;MALDONADO
040155;PIOTER
040156;TOBAR DONOSO
040157;TUFIÑO
040158;URBINA
040159;EL CHICAL
040161;SANTA MARTHA DE CUBA
040250;BOLÍVAR
040251;GARCÍA MORENO
040252;LOS ANDES
040253;MONTE OLIVO
040254;SAN VICENTE DE PUSIR
040255;SAN RAFAEL
040350;EL ÁNGEL
040351;EL GOALTAL
040352;LA LIBERTAD
040353;SAN ISIDRO
040450;MIRA
040451;CONCEPCIÓN
040452;JIJÓN Y CAAMAÑO
040453;JUAN MONTALVO
040550;SAN GABRIEL
040551;CRISTÓBAL COLÓN
040552;CHITÁN DE NAVARRETE
040553;FERNÁNDEZ SALVADOR
040554;LA PAZ
040555;PIARTAL
040650;HUACA
040651;MARISCAL SUCRE
050150;LATACUNGA
050151;ALÁQUEZ
050152;BELISARIO QUEVEDO
050153;GUAYTACAMA
050154;JOSEGUANGO BAJO
050156;MULALÓ
050157;ONCE DE NOVIEMBRE
050158;POALÓ
050159;SAN JUAN DE PASTOCALLE
050161;TANICUCHÍ
050162;TOACASO
050250;LA MANÁ
050251;GUASAGANDA
050252;PUCAYACU
050350;EL CORAZÓN
050351;MORASPUNGO
050352;PINLLOPATA
050353;RAMÓN CAMPAÑA
050450;PUJILÍ
050451;ANGAMARCA
050453;GUANGAJE
050455;LA VICTORIA
050456;PILALÓ
050457;TINGO
050458;ZUMBAHUA
050550;SAN MIGUEL
050551;ANTONIO JOSÉ HOLGUÍN
050552;CUSUBAMBA
050553;MULALILLO
050554;MULLIQUINDIL
050555;PANSALEO
050650;SAQUISILÍ
050651;CANCHAGUA
050652;CHANTILÍN
050653;COCHAPAMBA
050750;SIGCHOS
050751;CHUGCHILLÁN
050752;ISINLIVÍ
050753;LAS PAMPAS
050754;PALO QUEMADO
060150;RIOBAMBA
060151;CACHA
060152;CALPI
060153;CUBIJÍES
060154;FLORES
060155;LICÁN
060156;LICTO
060157;PUNGALÁ
060158;PUNÍN
060159;QUIMIAG
060160;SAN JUAN
060161;SAN LUIS
060250;ALAUSÍ
060251;ACHUPALLAS
060253;GUASUNTOS
060254;HUIGRA
060255;MULTITUD
060256;PISTISHI
060257;PUMALLACTA
060258;SEVILLA
060259;SIBAMBE
060260;TIXÁN
060350;VILLA LA UNIÓN
060351;CAÑI
060352;COLUMBE
060353;JUAN DE VELASCO
060354;SANTIAGO DE QUITO
060450;CHAMBO
060550;CHUNCHI
060551;CAPZOL
060552;COMPUD
060553;GONZOL
060554;LLAGOS
060650;GUAMOTE
060651;CEBADAS
060652;PALMIRA
060750;GUANO
060751;GUANANDO
060752;ILAPO
060753;LA PROVIDENCIA
060754;SAN ANDRÉS
060755;SAN GERARDO
060756;SAN ISIDRO DE PATULÚ
060757;SAN JOSÉ DEL CHAZO
060758;SANTA FÉ DE GALÁN
060759;VALPARAÍSO
060850;PALLATANGA
060950;PENIPE
060951;EL ALTAR
060952;MATUS
060953;PUELA
060954;SAN ANTONIO DE BAYUSHIG
060955;LA CANDELARIA
060956;BILBAO
061050;CUMANDÁ
070150;MACHALA
070152;EL RETIRO
070250;ARENILLAS
070251;CHACRAS
070254;PALMALES
070255;CARCABÓN
070256;LA CUCA
070350;PACCHA
070351;AYAPAMBA
070352;CORDONCILLO
070353;MILAGRO
070354;SAN JOSÉ
070355;SAN JUAN DE CERRO AZUL
070450;BALSAS
070451;BELLAMARÍA
070550;CHILLA
070650;EL GUABO
070651;BARBONES
070652;LA IBERIA
070653;TENDALES
070654;RÍO BONITO
070750;HUAQUILLAS
070850;MARCABELÍ
070851;EL INGENIO
070950;PASAJE
070951;BUENAVISTA
070952;CASACAY
070953;LA PEAÑA
070954;PROGRESO
070955;UZHCURRUMI
070956;CAÑAQUEMADA
071050;PIÑAS
071051;CAPIRO
071052;LA BOCANA
071053;MOROMORO
071054;PIEDRAS
071055;SAN ROQUE
071056;SARACAY
071150;PORTOVELO
071151;CURTINCAPA
071152;MORALES
071153;SALATÍ
071250;SANTA ROSA
071251;BELLAVISTA
071252;JAMBELÍ
071253;LA AVANZADA
071254;SAN ANTONIO
071255;TORATA
071256;VICTORIA
071257;BELLAMARÍA
071350;ZARUMA
071351;ABAÑÍN
071352;ARCAPAMBA
071353;GUANAZÁN
071354;GUIZHAGUIÑA
071355;HUERTAS
071356;MALVAS
071357;MULUNCAY GRANDE
071358;SINSAO
071359;SALVIAS
071450;LA VICTORIA
071451;LA LIBERTAD
071452;EL PARAÍSO
071453;SAN ISIDRO
080150;ESMERALDAS
080152;CAMARONES
080153;CORONEL CARLOS CONCHA TORRES
080154;CHINCA
080159;MAJUA
080163;SAN MATEO
080165;TABIAZO
080166;TACHINA
080168;VUELTA LARGA
080250;VALDEZ
080251;ANCHAYACU
080252;ATAHUALPA
080253;BORBÓN
080254;LA TOLA
080255;LUIS VARGAS TORRES
080256;MALDONADO
080257;PAMPANAL DE BOLÍVAR
080258;SAN FRANCISCO DE ONZOLE
080259;SANTO DOMINGO DE ONZOLE
080260;SELVA ALEGRE
080261;TELEMBÍ
080262;COLÓN ELOY DEL MARÍA
080263;SAN JOSÉ DE CAYAPAS
080264;TIMBIRÉ
080265;SANTA LUCÍA DE LAS PEÑAS
080350;MUISNE
080351;BOLÍVAR
080352;DAULE
080353;GALERA
080354;QUINGUE
080355;SÁLIMA
080356;SAN FRANCISCO
080357;SAN GREGORIO
080358;SAN JOSÉ DE CHAMANGA
080450;ROSA ZÁRATE
080451;CUBE
080452;CHURA
080453;MALIMPIA
080454;VICHE
080455;LA UNIÓN
080550;SAN LORENZO
080551;ALTO TAMBO
080552;ANCÓN
080553;CALDERÓN
080554;CARONDELET
080555;5 DE JUNIO
080556;CONCEPCIÓN
080557;MATAJE
080558;SAN JAVIER DE CACHAVÍ
080559;SANTA RITA
080560;TAMBILLO
080561;TULULBÍ
080562;URBINA
080650;ATACAMES
080651;LA UNIÓN
080652;SÚA
080653;TONCHIGÜE
080654;TONSUPA
080750;RIOVERDE
080751;CHONTADURO
080752;CHUMUNDÉ
080753;LAGARTO
080754;MONTALVO
080755;ROCAFUERTE
090150;GUAYAQUIL
090152;JUAN GÓMEZ RENDÓN
090153;MORRO
090156;POSORJA
090157;PUNÁ
090158;TENGUEL
090250;ALFREDO BAQUERIZO MORENO (JUJAN)
090350;BALAO
090450;BALZAR
090550;COLIMES
090551;SAN JACINTO
090650;DAULE
