AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|C|PICHINCHA|PEDRO VICENTE MALDONADO|23473,1300|19234,3300|0,0000|4169,0200|549051,5700|77057,9700|367272,1900|0,0000|7338,3600|455339,7500|595928,0500
2025|1|P|EL ORO|PIÑAS|6011,9100|18529,4600|0,0000|0,0000|0,0000|5111,0300|4478,0300|0,0000|645,0000|10234,0600|24541,3700
2025|1|I|SANTA ELENA|LA LIBERTAD|230517,3600|122879,3900|3810,0500|0,0000|0,0000|141087,4800|122962,2400|0,0000|25957,8400|290082,9400|357206,8000
2025|1|I|ESMERALDAS|ESMERALDAS|740324,9200|194671,1300|7888,7500|0,0000|0,0000|1483083,5400|494890,9300|1595,3600|25633,0000|2006272,4400|942884,8000
2025|1|I|LOJA|PALTAS|4372,5600|16094,2600|0,0000|0,0000|0,0000|5914,4600|3356,4400|0,0000|0,0000|9270,9000|20466,8200
2025|1|O|ZAMORA CHINCHIPE|PAQUISHA|2102,1000|263,2600|0,0000|0,0000|0,0000|118523,6700|12981,1200|0,0000|0,0000|131504,7900|2365,3600
2025|1|R|GUAYAS|ALFREDO BAQUERIZO MORENO|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|1|C|MANABI|EL CARMEN|205650,4500|3192117,0600|0,0000|80500,5500|665184,1100|681847,6300|3462468,8600|456,7500|33118,4800|4232899,4000|4143452,1700
2025|1|S|SUCUMBIOS|GONZALO PIZARRO|1016,3800|815,0600|0,0000|0,0000|0,0000|16038,0800|3726,7500|0,0000|0,0000|19764,8300|1831,4400
2025|1|E|GUAYAS|EL TRIUNFO|28,0000|2702,3500|0,0000|0,0000|0,0000|72,6400|61,6500|0,0000|0,0000|134,2900|2730,3500
